z_center,z_width,pt_center,pt_width,cos_center,cos_width,nsig,nsig_err,nsig_err2,bin_index
0.32,0.04,1.3092,0.1725,-0.9,0.1,1315.982,48.1392,48.1392,170
0.32,0.04,1.3092,0.1725,-0.7,0.1,1755.7687,53.686,53.686,171
0.32,0.04,1.3092,0.1725,-0.5,0.1,1913.0122,56.6529,56.6529,172
0.32,0.04,1.3092,0.1725,-0.3,0.1,2228.1582,60.6298,60.6298,173
0.32,0.04,1.3092,0.1725,-0.1,0.1,2310.01,61.4737,61.4737,174
0.32,0.04,1.3092,0.1725,0.1,0.1,2370.6649,62.9646,62.9646,175
0.32,0.04,1.3092,0.1725,0.3,0.1,2241.6685,61.5924,61.5924,176
0.32,0.04,1.3092,0.1725,0.5,0.1,2026.3948,58.3262,58.3262,177
0.32,0.04,1.3092,0.1725,0.7,0.1,1658.3297,53.2317,53.2317,178
0.32,0.04,1.3092,0.1725,0.9,0.1,1561.9819,51.3983,51.3983,179
0.4,0.04,0.0625,0.0625,-0.9,0.1,3454.891,75.6629,75.6629,200
0.4,0.04,0.0625,0.0625,-0.7,0.1,3257.7243,74.956,74.956,201
0.4,0.04,0.0625,0.0625,-0.5,0.1,3174.543,74.0945,74.0945,202
0.4,0.04,0.0625,0.0625,-0.3,0.1,3027.1187,72.9787,72.9787,203
0.4,0.04,0.0625,0.0625,-0.1,0.1,3281.3362,75.0899,75.0899,204
0.4,0.04,0.0625,0.0625,0.1,0.1,3038.8228,72.3678,72.3678,205
0.4,0.04,0.0625,0.0625,0.3,0.1,3236.4645,75.3818,75.3818,206
0.4,0.04,0.0625,0.0625,0.5,0.1,3041.8942,73.0078,73.0078,207
0.4,0.04,0.0625,0.0625,0.7,0.1,3439.9447,75.6816,75.6816,208
0.4,0.04,0.0625,0.0625,0.9,0.1,3364.4837,74.5201,74.5201,209
0.4,0.04,0.1875,0.0625,-0.9,0.1,8970.379,122.3975,122.3975,210
0.4,0.04,0.1875,0.0625,-0.7,0.1,8789.2853,121.9058,121.9058,211
0.4,0.04,0.1875,0.0625,-0.5,0.1,8587.1816,121.532,121.532,212
0.4,0.04,0.1875,0.0625,-0.3,0.1,8264.3307,119.8713,119.8713,213
0.4,0.04,0.1875,0.0625,-0.1,0.1,8397.528,121.1039,121.1039,214
0.4,0.04,0.1875,0.0625,0.1,0.1,8730.2167,122.5956,122.5956,215
0.4,0.04,0.1875,0.0625,0.3,0.1,8481.7121,120.8637,120.8637,216
0.4,0.04,0.1875,0.0625,0.5,0.1,8743.8262,121.5121,121.5121,217
0.4,0.04,0.1875,0.0625,0.7,0.1,8772.8709,121.4753,121.4753,218
0.4,0.04,0.1875,0.0625,0.9,0.1,8847.6875,120.9511,120.9511,219
0.4,0.04,0.3125,0.0625,-0.9,0.1,12003.3592,141.808,141.808,220
0.4,0.04,0.3125,0.0625,-0.7,0.1,11611.1537,140.5977,140.5977,221
0.4,0.04,0.3125,0.0625,-0.5,0.1,11679.5298,141.8863,141.8863,222
0.4,0.04,0.3125,0.0625,-0.3,0.1,11713.5369,141.1956,141.1956,223
0.4,0.04,0.3125,0.0625,-0.1,0.1,11061.1527,139.2144,139.2144,224
0.4,0.04,0.3125,0.0625,0.1,0.1,11677.5691,141.3817,141.3817,225
0.4,0.04,0.3125,0.0625,0.3,0.1,11741.1867,141.6657,141.6657,226
